,Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD4+/FoxP3- CD4- | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD4+/FoxP3- CD4-/Non-proliferating | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD4+/FoxP3- CD4-/Proliferating | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD4+/Treg | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD4+/Treg/Non-proliferating | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD4+/Treg/Proliferating | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD8+ | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD8+/Non-proliferating | Freq. of Parent (%),Singlets/Steady flow/Cells/Live (not mouse)/CFSE+/CD8+/Proliferating | Freq. of Parent (%)
0.fcs,96.1,77.3,22.7,0.97,75,25,8.06,82.9,17.1
1.fcs,94.1,68.3,31.7,3.17,56.2,43.8,19.4,69.9,30.1
2.fcs,85.1,37.7,62.3,11,22.8,77.2,28.9,32.5,67.5
3.fcs,91.3,31.7,68.3,7.59,11.4,88.6,21.2,37.2,62.8
4.fcs,84.9,43.7,56.3,10.9,26.6,73.4,25,35.6,64.4
5.fcs,92.3,65.7,34.3,6.19,35.4,64.6,23.3,70.4,29.6
6.fcs,94.6,70.3,29.7,3.34,45.3,54.7,22.3,67.8,32.2
7.fcs,94.7,76.4,23.6,3.11,49.8,50.2,19.2,81.8,18.2
8.fcs,86.8,59.3,40.7,9.26,33.2,66.8,22.3,48.1,51.9
9.fcs,91.9,58.7,41.3,5.91,29.4,70.6,21.2,59.9,40.1
10.fcs,84.7,34.1,65.9,12.1,15.7,84.3,28.8,27.8,72.2
11.fcs,90.2,64.6,35.4,7.89,32.4,67.6,22.7,64.3,35.7
12.fcs,94.8,77.3,22.7,2.67,60.4,39.6,20.1,82.6,17.4
13.fcs,99.8,37.4,62.6,0.096,14.3,85.7,28.3,32,68
14.fcs,100,63,37,0.012,0,100,19.5,75.8,24.2
15.fcs,99.4,70.9,29.1,0.41,7.5,92.5,20.8,77.2,22.8
16.fcs,99.8,30.6,69.4,0,0,0,25.5,22.6,77.4
17.fcs,91.9,53.4,46.6,6.34,26.8,73.2,21,59,41
18.fcs,94.1,62.6,37.4,3.93,37.5,62.5,20.5,58.9,41.1
19.fcs,86.3,30.3,69.7,10.8,19.9,80.1,23.1,24.6,75.4
20.fcs,82.8,58.3,41.7,10.3,33.3,66.7,1.54,40,60
21.fcs,85.6,33.7,66.3,10.2,23.9,76.1,25.7,25.8,74.2
24.fcs,95,69.8,30.2,3.06,37.6,62.4,21.1,72.2,27.8
26.fcs,90.3,43.3,56.7,7.79,19.8,80.2,19.8,50.6,49.4
27.fcs,91.3,44.3,55.7,7.12,17.1,82.9,20.5,46.9,53.1
29.fcs,91.4,54.2,45.8,5.87,28.8,71.2,19.8,62.5,37.5
